"path","branch","commit","file_count","bytes","acquired_at"
"data/raw/hadith/collections/abdullah-naseer-six-books","main","c4e5e554fc7bd498c8f3e0fac9e627b3d5a2e387","34","148487578","2026-06-14"
"data/raw/hadith/collections/fawaz-hadith-api-v1","1","df57907be35291c91ad6a6691180e22ca9920784","652774","3683502032","2026-06-14"
"data/raw/hadith/collections/hf-all-hadiths-cleaned","main","ecd6d81353388e04d142c76a34d762ee5d698535","35","82172033","2026-06-14"
"data/raw/hadith/collections/hf-fawaz-hadith-data","main","9bb26bde1d71efe9875aa54f9e00582774952e4b","35","191648674","2026-06-14"
"data/raw/hadith/collections/hf-jimlam-hadith-data","main","6afc2029e5af0141d1926a2d419fb71de9d0f81b","35","16520128","2026-06-14"
"data/raw/hadith/collections/hf-jimlam-hadith-data-hyphen","main","0a6b59586f2868b39c122be8f7c177b47e26ffdd","35","4258276","2026-06-14"
"data/raw/hadith/collections/hf-maic-all-hadith","main","20c9115ee9e1b1ca77e3832fbbdc39c2f095b3c3","35","31620771","2026-06-14"
"data/raw/hadith/collections/hf-ronnieaban-sunnah","main","e1cfe2c34a3ae6d4cf6708fe4e193dfaef362104","35","143124325","2026-06-14"
"data/raw/hadith/collections/hf-sarfarazmir-hadith-dataset","main","09acde36524ef2c96ee3be83a8977e13e769b024","29","385114","2026-06-14"
"data/raw/hadith/multilingual/hf-abdo-arabic-hadith","main","7af49f85461104c4e7172a55659d09ca423cd160","29","29175","2026-06-14"
"data/raw/hadith/multilingual/hf-meeatif-hadith-datasets","main","cd62605e4fef3c46968a5f9fdcccbbbffdf631b5","49","193817935","2026-06-14"
"data/raw/hadith/multilingual/hf-sarnsrun-hadiths","main","bc35050be3cb338752c1f243a43331ecf8f1c11c","35","35174427","2026-06-14"
"data/raw/hadith/official/sunnah-com-api","master","8aba965051f7e11fd7b04f657a138582f25e3055","47","1891466","2026-06-14"
"data/raw/hadith/quarantined/ahmedbaset-hadith-api","main","4b9f80ae6f79d2e1f4e82e4bfcc9fc5d81289141","49","57180","2026-06-14"
"data/raw/hadith/quarantined/ahmedbaset-hadith-json-v1.2.0","","ca32fd72aa16eeeb9a819c80bb65c9e78766532d","664","181925102","2026-06-14"
"data/raw/hadith/quarantined/hf-sunnah-ar-en","main","a498ab95ef469a0573b7c8255882cfc90aeb5c3d","35","33410437","2026-06-14"
"data/raw/hadith/quarantined/hf-sunnah-dataset","main","cc2f95cc070367c3ad6c5b672a6d16673dab566f","35","90441110","2026-06-14"
"data/raw/hadith/research/hf-arbml-hadith","main","44ebe1a07005ee6afd1b0fa316522b18e05a3be1","35","70801472","2026-06-14"
"data/raw/hadith/research/hf-arbml-lk-hadith","main","a1749bfc41e110b5ab511f61676fcc47c34ac038","35","77138701","2026-06-14"
"data/raw/hadith/research/hf-arbml-quran-hadith","main","db75746e2bb76dc1969869d552c9809c60c14358","35","6530126","2026-06-14"
"data/raw/hadith/research/hf-ar-quran-hadith14books-msa","main","bb9b8fa42bf7f4ad0f4b40a609dd2a22c5b896c6","82","14677921611","2026-06-14"
"data/raw/hadith/research/lk-hadith-corpus","master","c45fa64aa40bf1d4a34b9b35359640a583b02881","371","120800620","2026-06-14"
"data/raw/hadith/verification/semakhadis-api","master","4cc09d96ef46e8e8521eff772b7f601492c22c08","175","1484195","2026-06-14"
"data/raw/hadith/verification/semakhadis-frontend","master","385aa701da2a0cbb9e74afaee0b99b3964e0f182","247","8605329","2026-06-14"
