level,group_key,file_count,bytes,aggregate_sha256,role_counts_json
resource,collections/abdullah-naseer-six-books,7,126317632,767773126E038D2D664CD18F9A720032682B6F32196A9992CA248D568AEA8C45,"{""metadata"": 1, ""principal"": 6}"
resource,collections/fawaz-hadith-api-v1,652747,2932595708,768F8E19474E1C2322C7D1A6751D1BDA0A0D02A9CBAB8D24016A8D09E09753EA,"{""generated"": 326339, ""metadata"": 9, ""mirror"": 326240, ""payload_unselected"": 46, ""principal"": 101, ""support"": 12}"
resource,collections/hf-all-hadiths-cleaned,3,41072705,6FBD11E22101747652A3E713C9E1D855561F6333EB7DBA278127CD1C967070E8,"{""metadata"": 1, ""principal"": 1, ""support"": 1}"
resource,collections/hf-fawaz-hadith-data,3,95811392,B0A4566086898894ABF9C8216818B2DDCB83B4367F97AD78EEE8B611D1C34E2D,"{""metadata"": 1, ""principal"": 1, ""support"": 1}"
resource,collections/hf-jimlam-hadith-data,3,8246795,2DFA8F267CA1A191C56666EC5B80FF99F1EFE358A56AB273BF1D8CB0486722B3,"{""metadata"": 1, ""principal"": 1, ""support"": 1}"
resource,collections/hf-jimlam-hadith-data-hyphen,3,2115866,4D89EEBE96E7C2702E443E93D7578E150A71D0FB9A3AAB06602F344F44E1CC28,"{""metadata"": 1, ""principal"": 1, ""support"": 1}"
resource,collections/hf-maic-all-hadith,3,15797393,A307BEAB5640D532A2C477A1D5B23F8FC2FD1C03026886AACEFEF44338F17486,"{""metadata"": 1, ""principal"": 1, ""support"": 1}"
resource,collections/hf-ronnieaban-sunnah,3,71549923,FBC3CDDD2800B6EC1CF5AA56F373428966A105B092E6C248B01C10E76FB579B5,"{""metadata"": 1, ""principal"": 1, ""support"": 1}"
resource,collections/hf-sarfarazmir-hadith-dataset,2,285594,5CD22FCB7131218928AEF369E816547D3BA95126F33932A26E297841944DB17A,"{""payload_unselected"": 1, ""support"": 1}"
resource,multilingual/hf-abdo-arabic-hadith,2,1853,01E71957F698E57DAFD2E5ED10EF3C6467833E62623CB620F76CE2B12878D4C7,"{""metadata"": 1, ""support"": 1}"
resource,multilingual/hf-meeatif-hadith-datasets,14,125697207,AAAA46ABD96E7D5C77AAC96D34CD4203AC30800A4DDFDE7221F51797D55CE9FE,"{""metadata"": 1, ""principal"": 12, ""support"": 1}"
